Country,Region,Year,AvgCelsiusTemp,CO2,F-Gas,N2O
Algeria,Africa,2014,18.69,138.81,4.78,11.31
Algeria,Africa,2015,18.3,145.97,4.93,11.87
Algeria,Africa,2016,18.51,143.35,5.15,11.89
Algeria,Africa,2017,18.33,145.1,5.36,11.92
Algeria,Africa,2018,18.01,151.67,5.58,12.11
Algeria,Africa,2019,18.33,,,
Argentina,South/Central America & Carribean,1995,16.5,113.81,1.22,36.72
Argentina,South/Central America & Carribean,1996,17.06,126.56,1.67,37.02
Argentina,South/Central America & Carribean,1997,17.3,127.32,2.11,37.41
Argentina,South/Central America & Carribean,1998,16.53,133.17,2.53,37.04
Argentina,South/Central America & Carribean,1999,16.58,134.19,2.95,37.32
Argentina,South/Central America & Carribean,2000,16.89,131.91,3.36,39.45
Argentina,South/Central America & Carribean,2001,17.41,124.87,3.71,39.31
Argentina,South/Central America & Carribean,2002,17.23,117.47,4.05,39.89
Argentina,South/Central America & Carribean,2003,16.62,128.36,4.4,43.79
Argentina,South/Central America & Carribean,2004,17.01,141.85,4.74,43.98
Argentina,South/Central America & Carribean,2005,16.84,146.32,5.09,43.54
Argentina,South/Central America & Carribean,2006,17.05,155.37,7.06,44.93
Argentina,South/Central America & Carribean,2007,16.29,163.63,9.04,47.34
Argentina,South/Central America & Carribean,2008,17.42,168.15,11.01,45.97
Argentina,South/Central America & Carribean,2009,17.23,157.44,12.99,40.51
Argentina,South/Central America & Carribean,2010,17.23,168.14,14.97,41.65
Argentina,South/Central America & Carribean,2011,17.35,177.26,15.76,42.64
Argentina,South/Central America & Carribean,2012,17.62,178.53,16.56,42.12
Argentina,South/Central America & Carribean,2013,17.16,184.0,17.36,43.47
Argentina,South/Central America & Carribean,2014,17.56,179.91,18.16,43.85
Argentina,South/Central America & Carribean,2015,17.68,186.09,18.95,43.43
Argentina,South/Central America & Carribean,2016,16.77,184.28,20.12,46.38
Argentina,South/Central America & Carribean,2017,17.85,180.12,21.29,48.34
Argentina,South/Central America & Carribean,2018,17.49,177.41,22.46,47.93
Argentina,South/Central America & Carribean,2019,17.26,,,
Australia,Australia/South Pacific,1995,16.39,289.01,2.84,75.72
Australia,Australia/South Pacific,1996,16.248,299.59,2.83,69.98
Australia,Australia/South Pacific,1997,16.748,306.77,2.74,69.01
Australia,Australia/South Pacific,1998,16.9,327.66,3.26,73.52
Australia,Australia/South Pacific,1999,16.93,333.04,2.9,90.54
Australia,Australia/South Pacific,2000,16.806,338.81,3.11,98.66
Australia,Australia/South Pacific,2001,16.794,344.96,4.32,109.13
Australia,Australia/South Pacific,2002,17.052,352.89,4.88,102.14
Australia,Australia/South Pacific,2003,16.881999999999998,351.99,5.49,62.12
Australia,Australia/South Pacific,2004,16.954,365.27,6.21,85.89
Australia,Australia/South Pacific,2005,17.064,369.51,6.99,63.08
Australia,Australia/South Pacific,2006,17.044,375.06,6.25,82.53
Australia,Australia/South Pacific,2007,17.369999999999997,385.37,7.16,77.64
Australia,Australia/South Pacific,2008,16.744,388.5,8.13,62.1
Australia,Australia/South Pacific,2009,17.448,394.95,8.91,65.75
Australia,Australia/South Pacific,2010,17.062,387.35,9.9,54.65
Australia,Australia/South Pacific,2011,16.966,385.77,10.75,107.8
Australia,Australia/South Pacific,2012,16.810000000000002,385.77,11.34,107.09
Australia,Australia/South Pacific,2013,17.432,379.27,11.94,63.53
Australia,Australia/South Pacific,2014,17.491999999999997,369.88,12.63,75.8
Australia,Australia/South Pacific,2015,17.258,375.97,13.22,71.96
Australia,Australia/South Pacific,2016,17.446,383.96,13.76,57.39
Australia,Australia/South Pacific,2017,17.476,387.2,13.34,79.44
Australia,Australia/South Pacific,2018,17.372,386.62,12.92,76.76
Australia,Australia/South Pacific,2019,17.709999999999997,,,
Austria,Europe,1995,10.14,61.18,1.28,4.59
Austria,Europe,1996,8.71,64.9,1.4,4.69
Austria,Europe,1997,9.82,64.22,1.43,4.64
Austria,Europe,1998,10.74,64.67,1.24,4.63
Austria,Europe,1999,10.53,63.05,1.18,4.63
Austria,Europe,2000,11.53,63.53,1.18,4.59
Austria,Europe,2001,10.46,67.91,1.38,4.46
Austria,Europe,2002,11.04,69.37,1.45,4.35
Austria,Europe,2003,10.83,74.46,1.6,4.34
Austria,Europe,2004,10.33,75.8,1.73,3.79
Austria,Europe,2005,10.17,76.24,1.52,3.8
Austria,Europe,2006,10.69,74.1,1.55,3.77
Austria,Europe,2007,11.67,71.24,1.61,3.66
Austria,Europe,2008,11.44,70.73,1.64,3.79
Austria,Europe,2009,10.99,64.42,1.45,3.53
Austria,Europe,2010,9.58,69.96,1.66,3.52
Austria,Europe,2011,10.71,68.27,1.56,3.55
Austria,Europe,2012,11.06,65.11,1.62,3.59
Austria,Europe,2013,10.79,65.75,1.64,3.62
Austria,Europe,2014,11.86,61.99,1.73,3.67
Austria,Europe,2015,11.93,63.15,1.76,3.68
Austria,Europe,2016,11.17,63.39,1.77,3.7
Austria,Europe,2017,11.31,65.83,1.64,3.63
Austria,Europe,2018,12.1,63.18,1.51,3.62
Austria,Europe,2019,12.17,,,
Bahamas,South/Central America & Carribean,1995,25.06,2.08,0.01,0.05
Bahamas,South/Central America & Carribean,1996,24.46,1.97,0.01,0.05
Bahamas,South/Central America & Carribean,1997,25.13,1.77,0.01,0.05
Bahamas,South/Central America & Carribean,1998,25.6,2.27,0.01,0.06
Bahamas,South/Central America & Carribean,1999,25.37,2.23,0.01,0.05
Bahamas,South/Central America & Carribean,2000,25.21,2.14,0.02,0.05
Bahamas,South/Central America & Carribean,2001,25.26,2.13,0.02,0.05
Bahamas,South/Central America & Carribean,2002,26.09,2.28,0.02,0.05
Bahamas,South/Central America & Carribean,2003,26.48,2.25,0.03,0.05
Bahamas,South/Central America & Carribean,2004,25.7,2.16,0.03,0.07
Bahamas,South/Central America & Carribean,2005,26.13,2.02,0.04,0.06
Bahamas,South/Central America & Carribean,2006,25.99,2.02,0.04,0.06
Bahamas,South/Central America & Carribean,2007,26.59,2.07,0.05,0.06
Bahamas,South/Central America & Carribean,2008,26.41,2.11,0.05,0.07
Bahamas,South/Central America & Carribean,2009,26.32,6.02,0.06,0.06
Bahamas,South/Central America & Carribean,2010,25.7,2.08,0.06,0.05
Bahamas,South/Central America & Carribean,2011,26.58,2.42,0.06,0.07
Bahamas,South/Central America & Carribean,2012,25.9,3.64,0.06,0.07
Bahamas,South/Central America & Carribean,2013,25.65,3.11,0.07,0.08
Bahamas,South/Central America & Carribean,2014,25.89,2.62,0.07,0.07
Bahamas,South/Central America & Carribean,2015,26.34,2.37,0.07,0.08
Bahamas,South/Central America & Carribean,2016,26.3,2.19,0.07,0.08
Bahamas,South/Central America & Carribean,2017,26.89,2.15,0.08,0.08
Bahamas,South/Central America & Carribean,2018,26.15,2.26,0.08,0.08
Bahamas,South/Central America & Carribean,2019,26.19,,,
Bahrain,Middle East,1995,26.27,13.54,0.26,0.03
Bahrain,Middle East,1996,26.77,14.17,0.35,0.04
Bahrain,Middle East,1997,26.0,14.42,0.44,0.04
Bahrain,Middle East,1998,27.89,15.51,0.54,0.04
Bahrain,Middle East,1999,27.94,15.45,0.63,0.04
Bahrain,Middle East,2000,27.0,15.88,0.73,0.04
Bahrain,Middle East,2001,27.4,16.39,0.74,0.04
Bahrain,Middle East,2002,27.15,17.22,0.76,0.05
Bahrain,Middle East,2003,27.21,17.96,0.78,0.06
Bahrain,Middle East,2004,27.1,17.93,0.79,0.07
Bahrain,Middle East,2005,26.78,20.7,0.81,0.07
Bahrain,Middle East,2006,27.23,22.5,0.9,0.07
Bahrain,Middle East,2007,27.21,23.01,0.98,0.06
Bahrain,Middle East,2008,26.94,24.77,1.07,0.07
Bahrain,Middle East,2009,27.45,24.73,1.15,0.07
Bahrain,Middle East,2010,28.29,25.98,1.24,0.08
Bahrain,Middle East,2011,27.18,26.03,1.46,0.09
Bahrain,Middle East,2012,27.6,26.57,1.68,0.09
Bahrain,Middle East,2013,27.34,28.76,1.9,0.09
Bahrain,Middle East,2014,27.82,30.22,2.12,0.09
Bahrain,Middle East,2015,28.12,30.6,2.34,0.08
Bahrain,Middle East,2016,27.85,30.2,2.65,0.07
Bahrain,Middle East,2017,28.13,30.38,2.95,0.07
Bahrain,Middle East,2018,28.5,30.75,3.26,0.09
Bahrain,Middle East,2019,28.31,,,
Bangladesh,Asia,1995,26.31,16.55,0.08,19.81
Bangladesh,Asia,1996,25.98,16.82,0.13,20.36
Bangladesh,Asia,1997,25.09,18.97,0.17,19.88
Bangladesh,Asia,1998,26.27,19.25,0.21,19.93
Bangladesh,Asia,1999,25.05,20.11,0.26,21.19
Bangladesh,Asia,2000,26.17,21.65,0.3,21.36
Bangladesh,Asia,2001,26.09,25.78,0.34,21.82
Bangladesh,Asia,2002,25.9,27.43,0.38,22.4
Bangladesh,Asia,2003,26.01,28.63,0.41,21.93
Bangladesh,Asia,2004,26.06,30.53,0.45,22.06
Bangladesh,Asia,2005,25.48,32.71,0.49,22.83
Bangladesh,Asia,2006,26.31,35.9,0.56,23.86
Bangladesh,Asia,2007,25.62,37.99,0.64,23.95
Bangladesh,Asia,2008,24.25,41.58,0.72,26.03
Bangladesh,Asia,2009,26.12,44.75,0.79,25.53
Bangladesh,Asia,2010,27.13,50.58,0.87,26.06
Barbados,South/Central America & Carribean,1995,27.37,1.07,0.01,0.06
Barbados,South/Central America & Carribean,1996,27.19,1.07,0.01,0.06
Barbados,South/Central America & Carribean,1997,27.1,1.17,0.01,0.06
Barbados,South/Central America & Carribean,1998,27.52,1.27,0.02,0.06
Barbados,South/Central America & Carribean,1999,26.97,1.3,0.02,0.06
Barbados,South/Central America & Carribean,2000,26.79,1.24,0.02,0.06
Barbados,South/Central America & Carribean,2001,27.05,1.32,0.02,0.06
Barbados,South/Central America & Carribean,2002,27.35,1.37,0.03,0.05
Barbados,South/Central America & Carribean,2003,27.39,1.38,0.03,0.05
Barbados,South/Central America & Carribean,2004,27.41,1.36,0.03,0.06
Barbados,South/Central America & Carribean,2005,27.81,1.42,0.03,0.05
Barbados,South/Central America & Carribean,2006,27.59,1.47,0.04,0.05
Barbados,South/Central America & Carribean,2007,27.26,1.48,0.04,0.05
Barbados,South/Central America & Carribean,2008,26.82,1.78,0.05,0.05
Barbados,South/Central America & Carribean,2009,27.29,4.62,0.06,0.05
Barbados,South/Central America & Carribean,2010,27.8,1.59,0.06,0.05
Barbados,South/Central America & Carribean,2011,27.44,1.67,0.07,0.05
Barbados,South/Central America & Carribean,2012,27.02,2.21,0.08,0.05
Barbados,South/Central America & Carribean,2013,27.09,1.48,0.09,0.06
Barbados,South/Central America & Carribean,2014,27.03,1.29,0.1,0.05
Barbados,South/Central America & Carribean,2015,27.46,1.29,0.11,0.05
Barbados,South/Central America & Carribean,2016,27.54,1.31,0.12,0.05
Barbados,South/Central America & Carribean,2017,27.05,1.2,0.13,0.05
Barbados,South/Central America & Carribean,2018,26.2,1.25,0.14,0.05
Belarus,Europe,1995,6.84,57.53,0.0,11.87
Belarus,Europe,1996,5.36,58.48,0.0,11.9
Belarus,Europe,1997,6.1,59.05,0.01,11.93
Belarus,Europe,1998,6.91,57.23,0.01,11.85
Belarus,Europe,1999,8.29,54.98,0.01,11.79
Belarus,Europe,2000,8.31,52.99,0.01,11.64
Belarus,Europe,2001,7.43,51.74,0.01,12.26
Belarus,Europe,2002,8.07,51.77,0.02,11.19
Belarus,Europe,2003,7.0,52.55,0.02,11.43
Belarus,Europe,2004,7.07,55.77,0.02,11.65
Belarus,Europe,2005,7.3,56.48,0.03,12.0
Belarus,Europe,2006,7.32,58.81,0.03,12.46
Belarus,Europe,2007,8.2,57.35,0.04,12.32
Belarus,Europe,2008,8.32,60.27,0.04,12.82
Belarus,Europe,2009,7.23,57.2,0.04,12.99
Belarus,Europe,2010,7.16,61.47,0.02,12.88
Belarus,Europe,2011,8.06,58.35,0.04,13.38
Belarus,Europe,2012,7.28,59.79,0.05,13.24
Belarus,Europe,2013,7.96,59.93,0.06,13.04
Belarus,Europe,2014,8.23,59.47,0.07,12.64
Belarus,Europe,2015,9.03,54.89,0.08,12.53
Belarus,Europe,2016,8.01,55.21,0.08,11.75
Belarus,Europe,2017,7.83,56.24,0.08,12.16
Belarus,Europe,2018,6.9,59.31,0.08,12.01
Belarus,Europe,2019,6.94,,,
Belgium,Europe,1995,10.94,114.57,0.53,8.9
Belgium,Europe,1996,9.0,119.45,0.63,9.41
Belgium,Europe,1997,10.63,116.64,0.75,9.1
Belgium,Europe,1998,10.72,119.41,0.91,9.19
Belgium,Europe,1999,11.18,115.51,0.97,9.12
Belgium,Europe,2000,11.29,117.28,1.16,7.76
Belgium,Europe,2001,10.88,118.34,1.25,7.5
Belgium,Europe,2002,11.3,110.85,1.48,8.01
Belgium,Europe,2003,11.29,115.5,1.65,7.24
Belgium,Europe,2004,10.91,114.02,1.74,7.33
Belgium,Europe,2005,11.19,110.61,1.8,7.09
Belgium,Europe,2006,11.14,108.65,1.92,6.09
Belgium,Europe,2007,11.19,104.59,2.14,5.49
Belgium,Europe,2008,10.59,106.93,2.27,5.54
Belgium,Europe,2009,10.7,99.67,2.46,5.63
Belgium,Europe,2010,9.35,106.47,2.59,6.13
Belgium,Europe,2011,11.38,95.57,2.73,4.88
Belgium,Europe,2012,10.42,94.96,2.86,4.93
Belgium,Europe,2013,9.92,96.61,2.86,4.77
Belgium,Europe,2014,11.74,90.16,3.01,4.74
Belgium,Europe,2015,11.07,95.2,2.99,4.79
Belgium,Europe,2016,10.87,94.32,3.09,4.49
Belgium,Europe,2017,11.18,92.77,2.86,4.44
Belgium,Europe,2018,11.7,93.47,2.62,4.46
Belgium,Europe,2019,11.39,,,
Belize,South/Central America & Carribean,1995,25.65,0.46,0.0,0.1
Belize,South/Central America & Carribean,1996,26.83,0.36,0.01,0.1
Belize,South/Central America & Carribean,1997,27.7,0.46,0.01,0.1
Belize,South/Central America & Carribean,1998,27.75,0.45,0.01,0.11
Belize,South/Central America & Carribean,1999,26.84,0.41,0.02,0.11
Belize,South/Central America & Carribean,2000,26.9,0.45,0.02,0.11
Belize,South/Central America & Carribean,2001,27.2,0.53,0.02,0.11
Belize,South/Central America & Carribean,2002,27.42,0.52,0.02,0.18
Belize,South/Central America & Carribean,2003,27.47,0.51,0.03,0.24
Belize,South/Central America & Carribean,2004,27.42,0.44,0.03,0.12
Belize,South/Central America & Carribean,2005,27.6,0.47,0.03,0.14
Belize,South/Central America & Carribean,2006,27.29,0.51,0.04,0.13
Belize,South/Central America & Carribean,2007,27.65,0.53,0.04,0.14
Belize,South/Central America & Carribean,2008,27.35,0.5,0.05,0.13
Belize,South/Central America & Carribean,2009,27.55,1.46,0.05,0.16
Belize,South/Central America & Carribean,2010,27.18,0.56,0.06,0.14
Belize,South/Central America & Carribean,2011,27.46,0.64,0.07,0.17
Belize,South/Central America & Carribean,2012,27.28,0.69,0.08,0.16
Belize,South/Central America & Carribean,2013,27.09,0.5,0.09,0.23
Belize,South/Central America & Carribean,2014,27.13,0.49,0.1,0.23
Belize,South/Central America & Carribean,2015,27.59,0.66,0.11,0.24
Belize,South/Central America & Carribean,2016,27.4,0.65,0.12,0.24
Belize,South/Central America & Carribean,2017,27.37,0.65,0.13,0.23
Belize,South/Central America & Carribean,2018,27.23,0.68,0.15,0.21
Belize,South/Central America & Carribean,2019,27.68,,,
Benin,Africa,1995,27.6,0.46,0.03,1.85
Benin,Africa,1996,27.46,1.05,0.06,2.13
Benin,Africa,1997,27.17,1.24,0.08,2.23
Benin,Africa,1998,27.94,1.3,0.1,2.32
Benin,Africa,1999,27.37,1.42,0.13,2.28
Benin,Africa,2000,27.72,1.53,0.15,2.44
Benin,Africa,2001,27.52,1.84,0.16,2.01
Benin,Africa,2002,27.44,2.12,0.17,2.32
Benin,Africa,2003,27.69,2.38,0.18,2.09
Benin,Africa,2004,27.38,2.53,0.19,2.0
Benin,Africa,2005,27.54,2.78,0.19,2.4
Benin,Africa,2006,27.83,3.83,0.23,2.19
Benin,Africa,2007,27.35,4.39,0.27,2.29
Benin,Africa,2008,27.33,4.35,0.31,2.1
Benin,Africa,2009,27.52,4.7,0.34,2.22
Benin,Africa,2010,28.09,5.08,0.38,2.28
Benin,Africa,2011,27.49,4.98,0.45,2.34
Benin,Africa,2012,27.34,4.74,0.52,2.4
Benin,Africa,2013,27.56,5.02,0.6,2.51
Benin,Africa,2014,27.57,5.51,0.67,2.51
Benin,Africa,2015,27.53,5.99,0.74,2.47
Benin,Africa,2016,27.88,7.23,0.83,2.67
Benin,Africa,2017,27.86,7.36,0.91,2.57
Benin,Africa,2018,27.89,7.91,1.0,2.93
Benin,Africa,2019,28.01,,,
Bermuda,South/Central America & Carribean,1995,21.83,,,
Bermuda,South/Central America & Carribean,1996,21.78,,,
Bermuda,South/Central America & Carribean,1997,21.81,,,
Bermuda,South/Central America & Carribean,1998,22.62,,,
Bermuda,South/Central America & Carribean,1999,22.57,,,
Bermuda,South/Central America & Carribean,2000,22.0,,,
Bermuda,South/Central America & Carribean,2001,21.73,,,
Bermuda,South/Central America & Carribean,2002,22.3,,,
Bermuda,South/Central America & Carribean,2003,22.5,,,
Bermuda,South/Central America & Carribean,2004,21.85,,,
Bermuda,South/Central America & Carribean,2005,21.8,,,
Bermuda,South/Central America & Carribean,2006,21.88,,,
Bermuda,South/Central America & Carribean,2007,21.58,,,
Bermuda,South/Central America & Carribean,2008,22.05,,,
Bermuda,South/Central America & Carribean,2009,22.26,,,
Bermuda,South/Central America & Carribean,2010,21.05,,,
Bolivia,South/Central America & Carribean,1995,7.55,8.32,0.02,5.67
Bolivia,South/Central America & Carribean,1996,6.78,8.12,0.03,5.47
Bolivia,South/Central America & Carribean,1997,7.25,8.28,0.03,5.67
Bolivia,South/Central America & Carribean,1998,8.3,8.61,0.04,6.02
Bolivia,South/Central America & Carribean,1999,6.86,7.96,0.05,6.35
Bolivia,South/Central America & Carribean,2000,6.83,8.0,0.06,6.05
Bolivia,South/Central America & Carribean,2001,7.12,7.89,0.06,6.03
Bolivia,South/Central America & Carribean,2002,7.64,8.23,0.07,6.9
Bolivia,South/Central America & Carribean,2003,7.64,9.11,0.08,6.6
Bolivia,South/Central America & Carribean,2004,7.71,9.42,0.08,7.45
Bolivia,South/Central America & Carribean,2005,7.6,10.07,0.09,8.0
Bolivia,South/Central America & Carribean,2006,7.03,11.16,0.1,7.67
Bolivia,South/Central America & Carribean,2007,7.14,12.04,0.12,7.65
Bolivia,South/Central America & Carribean,2008,6.81,13.02,0.13,7.67
Bolivia,South/Central America & Carribean,2009,7.3,13.87,0.15,7.66
Bolivia,South/Central America & Carribean,2010,7.86,15.04,0.16,9.52
Bolivia,South/Central America & Carribean,2011,7.25,16.45,0.18,8.46
Bolivia,South/Central America & Carribean,2012,7.39,17.25,0.2,8.48
Bolivia,South/Central America & Carribean,2013,7.79,18.56,0.23,8.46
Bolivia,South/Central America & Carribean,2014,7.92,20.17,0.25,8.03
Bolivia,South/Central America & Carribean,2015,7.84,20.41,0.27,8.55
Bolivia,South/Central America & Carribean,2016,8.28,21.61,0.29,9.05
Bolivia,South/Central America & Carribean,2017,7.9,22.25,0.32,8.85
Bolivia,South/Central America & Carribean,2018,7.46,22.71,0.34,8.77
Bolivia,South/Central America & Carribean,2019,7.84,,,
Brazil,South/Central America & Carribean,1995,22.116666666666664,241.5,4.71,119.98
Brazil,South/Central America & Carribean,1996,21.85666666666667,262.9,4.15,113.5
Brazil,South/Central America & Carribean,1997,22.040000000000003,281.51,3.83,116.69
Brazil,South/Central America & Carribean,1998,22.666666666666668,290.76,3.25,123.9
Brazil,South/Central America & Carribean,1999,21.883333333333336,300.62,4.3,124.22
Brazil,South/Central America & Carribean,2000,22.316666666666663,312.67,3.04,124.41
Brazil,South/Central America & Carribean,2001,22.683333333333334,319.56,3.14,130.21
Brazil,South/Central America & Carribean,2002,22.80666666666667,317.28,3.71,140.6
Brazil,South/Central America & Carribean,2003,22.133333333333336,309.35,4.13,146.21
Brazil,South/Central America & Carribean,2004,21.94333333333333,326.76,4.44,156.77
Brazil,South/Central America & Carribean,2005,21.930000000000003,330.51,4.85,156.25
Brazil,South/Central America & Carribean,2006,21.643333333333334,333.98,5.62,154.46
Brazil,South/Central America & Carribean,2007,21.80666666666667,351.52,6.41,160.01
Brazil,South/Central America & Carribean,2008,21.313333333333333,372.16,7.14,153.67
Brazil,South/Central America & Carribean,2009,21.929999999999996,350.83,7.32,150.36
Brazil,South/Central America & Carribean,2010,22.44666666666667,397.73,8.0,167.39
Brazil,South/Central America & Carribean,2011,21.74333333333333,417.12,8.04,166.85
Brazil,South/Central America & Carribean,2012,22.316666666666666,451.76,8.09,167.66
Brazil,South/Central America & Carribean,2013,22.26,482.86,8.13,167.97
Brazil,South/Central America & Carribean,2014,22.94666666666667,506.78,8.18,174.59
Brazil,South/Central America & Carribean,2015,22.61666666666667,479.97,8.22,172.22
Brazil,South/Central America & Carribean,2016,22.363333333333333,441.91,8.63,176.35
Brazil,South/Central America & Carribean,2017,22.30666666666667,449.84,9.03,184.38
Brazil,South/Central America & Carribean,2018,22.026666666666667,427.71,9.44,179.2
Brazil,South/Central America & Carribean,2019,23.08666666666667,,,
Bulgaria,Europe,1995,9.68,54.69,0.01,4.38
Bulgaria,Europe,1997,9.32,53.37,0.02,4.19
Bulgaria,Europe,1998,10.41,50.59,0.02,3.6
Bulgaria,Europe,1999,10.56,44.3,0.03,3.36
Bulgaria,Europe,2000,10.96,43.33,0.05,3.76
Bulgaria,Europe,2001,10.4,46.18,0.06,3.96
Bulgaria,Europe,2002,10.24,43.63,0.07,4.38
Bulgaria,Europe,2003,10.1,47.89,0.1,4.48
Bulgaria,Europe,2004,10.3,47.18,0.13,4.37
Bulgaria,Europe,2005,9.52,47.88,0.21,3.99
Bulgaria,Europe,2006,10.23,48.97,0.31,3.26
Bulgaria,Europe,2007,11.97,52.62,0.4,3.62
Bulgaria,Europe,2008,11.89,50.03,0.64,3.8
Bulgaria,Europe,2009,11.48,42.97,0.66,3.79
Bulgaria,Europe,2010,11.59,44.85,0.69,3.71
Bulgaria,Europe,2011,10.81,49.67,0.78,4.36
Bulgaria,Europe,2012,11.78,45.12,0.85,3.43
Bulgaria,Europe,2013,11.94,39.82,1.0,3.76
Bulgaria,Europe,2014,11.74,42.23,1.13,3.83
Bulgaria,Europe,2015,11.87,44.69,1.25,4.0
Bulgaria,Europe,2016,11.87,41.74,1.43,4.01
Bulgaria,Europe,2017,11.47,44.04,1.33,4.05
Bulgaria,Europe,2018,11.69,41.13,1.24,4.05
Bulgaria,Europe,2019,11.8,,,
Burundi,Africa,1995,26.29,0.22,0.01,1.22
Burundi,Africa,1996,26.23,0.22,0.02,1.21
Burundi,Africa,1997,25.8,0.23,0.03,1.22
Burundi,Africa,1998,28.0,0.23,0.04,1.29
Burundi,Africa,1999,25.22,0.23,0.05,1.32
Burundi,Africa,2003,27.39,0.17,0.07,1.38
Burundi,Africa,2004,24.79,0.16,0.08,1.42
Burundi,Africa,2005,23.36,0.16,0.08,1.45
Burundi,Africa,2006,15.55,0.19,0.1,1.5
Burundi,Africa,2007,12.52,0.19,0.11,1.51
Canada,North America,1995,5.557,449.5,9.02,45.95
Canada,North America,1996,4.541,463.16,9.02,48.58
Canada,North America,1997,5.553,478.53,9.27,46.6
Canada,North America,1998,7.365999999999998,486.76,10.4,43.64
Canada,North America,1999,6.994,495.14,9.89,40.81
Canada,North America,2000,5.641,515.0,10.6,39.25
Canada,North America,2001,6.81,506.94,9.72,38.91
Canada,North America,2002,5.765000000000001,525.47,10.01,40.16
Canada,North America,2003,5.722,545.36,10.05,40.79
Canada,North America,2004,5.667,537.25,10.41,42.47
Canada,North America,2005,6.642,549.97,10.33,43.25
Canada,North America,2006,7.104999999999999,541.07,9.86,38.62
Canada,North America,2007,6.029999999999999,571.31,9.28,42.43
Canada,North America,2008,5.694999999999999,550.2,9.32,42.33
Canada,North America,2009,5.433,520.8,9.67,38.8
Canada,North America,2010,6.992999999999999,535.03,9.99,38.97
Canada,North America,2011,6.272222222222222,547.72,10.59,41.33
Canada,North America,2012,6.896666666666666,547.14,11.28,43.25
Canada,North America,2013,5.55111111111111,556.35,11.47,42.6
Canada,North America,2014,1.5844444444444443,561.83,11.52,41.84
Canada,North America,2015,1.5366666666666668,558.8,12.42,41.86
Canada,North America,2016,5.154999999999999,550.48,13.23,40.99
Canada,North America,2017,4.425,562.26,13.33,41.4
Canada,North America,2018,3.7300000000000004,574.4,13.42,43.12
Canada,North America,2019,3.09,,,
Central African Republic,Africa,1995,25.76,0.16,0.0,23.27
Central African Republic,Africa,1996,25.43,0.17,0.0,24.63
Central African Republic,Africa,1997,26.02,0.17,0.0,25.04
Central African Republic,Africa,1998,26.23,0.23,0.0,26.39
Central African Republic,Africa,1999,25.87,0.24,0.0,25.48
Central African Republic,Africa,2000,25.74,0.24,0.0,27.34
Central African Republic,Africa,2001,25.54,0.25,0.01,25.15
Central African Republic,Africa,2002,25.63,0.25,0.01,23.79
Central African Republic,Africa,2003,25.71,0.24,0.01,26.28
Central African Republic,Africa,2004,25.73,0.24,0.01,24.73
Central African Republic,Africa,2005,25.86,0.24,0.01,25.08
Central African Republic,Africa,2006,25.84,0.26,0.01,25.28
Central African Republic,Africa,2007,26.18,0.26,0.02,25.56
Central African Republic,Africa,2008,25.93,0.26,0.02,26.38
